id,country_code,address1,address2,address3,address4,locality,administrative_area,postal_code,latitude,longitude
INTL_624b5477-0,UN,347 N KUAKINI ST.,,,,HONOLULU,HI,96817,,
INTL_f088c2a0-9,UN,1500 Associates Dr,,,,DUBUQUE,IA,52002,,
INTL_3df81b0f-6,UN,1801 Research Blvd # 300,,,,Rockville,MD,20850,,
INTL_48d18c92-e,UN,1342 Lakeland Hills Blvd,,,,Lakeland,FL,33805,,
INTL_5a045b8d-9,UN,755 Stirling Center Place,,,,Lake Mary,FL,32746,,
INTL_f02dcea6-2,UN,3280 University Avenue,,,,Morgantown,WV,26505,,
INTL_4a8012e0-4,UN,"1200 US Hwy 22 East, Suite 17",,,,Bridgewater,NJ,08807,,
INTL_d1fe095d-b,UN,30701 Lorain Road,,,,North Olmsted,OH,44070,,
INTL_a9384d61-d,UN,210 East Houston Street,,,,Cleveland,TX,77327,,
INTL_e9293d09-0,UN,133 Mill St,,,,Bradford,PA,16701,,
INTL_c8129c16-3,UN,1923 S Utica Ave,,,,Tulsa,OK,74104,,
INTL_10c8e900-0,UN,2000 NEUSE BLVD,,,,NEW BERN,NC,28561,,
INTL_e73f3d01-f,UN,17030 Lakeside Hills Plaza #102,,,,Omaha,NE,68130,,
INTL_9dd7c714-1,UN,227 Industrial Blvd,,,,Dublin,GA,31021,,
INTL_fea2daec-8,UN,1521 Gull Rd.,,,,Kalamazoo,MI,49048,,
INTL_66dbcd8a-2,UN,1220 BANK ST,,,,RICHMOND,VA,23219,,
INTL_5d7f016c-6,UN,255 Bert Kouns Industrial Loop,,,,Shreveport,LA,71106,,
INTL_01f4abb6-f,UN,2555 Court Dr Ste 460,,,,Gastonia,NC,28054,,
INTL_1a325c8f-9,UN,206 Champagne Boulevard,,,,Breaux Bridge,LA,70517,,
INTL_7338f778-8,UN,600 E Interstate 20,,,,Stanton,TX,79782,,
INTL_0b70cf34-7,UN,11900 FM 1960 West,,,,Houston,TX,77065,,
INTL_7adef0d8-c,UN,801 E. Nolana,,,,McAllen,TX,78504,,
INTL_aeed91e5-8,UN,509 E Monroe St,,,,Corydon,IA,50060,,
INTL_a6017d49-c,UN,4141 Shore Drive,,,,INDIANAPOLIS,IN,46254,,
INTL_82b7326d-d,UN,498 Wando Park Blvd Ste 500,,,,Mount Pleasant,SC,29464,,
INTL_007afd24-9,UN,4850 N 9th Ave,,,,Pensacola,FL,32503,,
INTL_cedaf10c-7,UN,Hwy 17 N,,,,CARROLLTON,AL,35447,,
INTL_d21e62e2-b,UN,349 Inverness Drive South,,,,Englewood,CO,80112,,
INTL_f7404640-d,UN,4315 Houmas Blvd Ste 401,,,,Metairie,LA,70006,,
INTL_2f8ed31a-b,UN,310 West Halsell St.,,,,Dimmitt,TX,79027,,
INTL_eaeb8a22-d,UN,730 Thimble Shoals Blvd Ste 130,,,,Newport News,VA,23606,,
INTL_d67d9fdb-e,UN,401 Shore Road,,,,Somers Point,NJ,08244,,
INTL_9207ca49-d,UN,6311 Garners Ferry Road,,,,Columbia,SC,29209,,
INTL_a6b05b7f-2,UN,1245 Westgate Parkway,,,,Dothan,AL,36303,,
INTL_5fdb037e-f,UN,201 Albert Ave,,,,Scott City,KS,67871,,
INTL_d179ff72-2,UN,609 SE KENT ST,,,,GREENFIELD,IA,50849,,
INTL_7b0390b1-b,UN,226 North Kuakini St,,,,Honolulu,HI,96817,,
