id,addressee,delivery_line_1,delivery_line_2,last_line,address_type,raw_address,latitude,longitude
NS_f8bb752b-5,,,,",",fhir_organization,USA,,
NS_9c960775-9,,,,",",fhir_organization,USA,,
NS_79e1960e-9,,,,",",fhir_organization,USA,,
NS_d1c42498-b,,,,",",fhir_organization,USA,,
NS_1d747c60-1,,,,",",fhir_organization,USA,,
NS_dbb58eaa-2,,,,",",fhir_organization,USA,,
NS_90514491-0,,,,",",fhir_organization,USA,,
NS_4fc0f746-d,,,,",",fhir_organization,USA,,
NS_9f07d4d8-0,,,,",",fhir_organization,USA,,
NS_962eec29-4,,,,",",fhir_organization,USA,,
NS_2daf3bb4-4,,,,",",fhir_organization,USA,,
NS_3c0d2f2d-1,,,,",",fhir_organization,USA,,
NS_f233cc4b-0,,,,",",fhir_organization,USA,,
NS_9b4f985b-3,,,,",",fhir_organization,USA,,
NS_1249611b-b,,,,",",fhir_organization,USA,,
NS_e65c299c-f,,,,",",fhir_organization,USA,,
NS_f72c5035-9,,,,",",fhir_organization,USA,,
NS_3bf65d52-9,,,,",",fhir_organization,USA,,
NS_7c6a1fad-4,,,,",",fhir_organization,USA,,
NS_939d5db6-b,,,,",",fhir_organization,USA,,
NS_c1d24db2-c,,,,",",fhir_organization,USA,,
NS_1c9fb975-1,,,,",",fhir_organization,USA,,
NS_d0dcdbad-e,,,,",",fhir_organization,USA,,
NS_8927a257-5,,,,",",fhir_organization,USA,,
NS_4c44e91f-2,,,,",",fhir_organization,USA,,
NS_07276894-3,,,,",",fhir_organization,USA,,
NS_a345249b-8,,,,",",fhir_organization,USA,,
NS_90fd57ea-e,,,,",",fhir_organization,USA,,
NS_68214dda-f,,,,",",fhir_organization,USA,,
NS_6afbb5f1-2,,,,",",fhir_organization,USA,,
NS_01a9b2e9-f,,,,",",fhir_organization,USA,,
NS_8f57f41a-8,,,,",",fhir_organization,USA,,
NS_a9030f72-2,,,,",",fhir_organization,USA,,
NS_0387dcae-d,,,,",",fhir_organization,USA,,
NS_b65f1a0f-2,,,,",",fhir_organization,USA,,
NS_50a4d9d4-f,,,,",",fhir_organization,USA,,
NS_6ef5af8f-6,,,,",",fhir_organization,USA,,
NS_1e49bc56-e,,,,",",fhir_organization,USA,,
NS_9646bad6-3,,,,",",fhir_organization,USA,,
NS_72f635d5-7,,,,",",fhir_organization,USA,,
NS_4777d11a-4,,,,",",fhir_organization,USA,,
NS_a064c694-2,,,,",",fhir_organization,USA,,
NS_35028b09-b,,,,",",fhir_organization,USA,,
NS_63defc60-5,,,,",",fhir_organization,USA,,
NS_5d0a276a-b,,,,",",fhir_organization,USA,,
NS_170d7fe6-c,,,,",",fhir_organization,USA,,
NS_64f784f7-f,,,,",",fhir_organization,USA,,
NS_9a7e1461-8,,,,",",fhir_organization,USA,,
NS_5bc429c3-8,,,,",",fhir_organization,USA,,
NS_daf6f6be-0,,,,",",fhir_organization,USA,,
NS_21e66663-b,,,,",",fhir_organization,USA,,
NS_38b7c8d2-2,,,,",",fhir_organization,USA,,
NS_45d3101d-5,,,,",",fhir_organization,USA,,
NS_ea63cf73-0,,,,",",fhir_organization,USA,,
NS_9773b946-f,,,,",",fhir_organization,USA,,
NS_a938f078-d,,,,",",fhir_organization,USA,,
NS_b98e52cd-4,,,,",",fhir_organization,USA,,
NS_a73923ba-4,,,,",",fhir_organization,USA,,
NS_1b657da8-3,,,,",",fhir_organization,USA,,
NS_d6f78426-f,,,,",",fhir_organization,USA,,
NS_071780df-9,,,,",",fhir_organization,USA,,
NS_7906a614-d,,,,",",fhir_organization,USA,,
NS_c9812cc9-a,,,,",",fhir_organization,USA,,
NS_cfe5780e-f,,,,",",fhir_organization,USA,,
NS_0c44adb9-e,,,,",",fhir_organization,USA,,
NS_731ae77a-c,,,,",",fhir_organization,USA,,
NS_78f50c37-0,,,,",",fhir_organization,USA,,
NS_96091df4-f,,,,",",fhir_organization,USA,,
NS_02e1a077-e,,,,",",fhir_organization,USA,,
NS_7eb9f6df-1,,,,",",fhir_organization,USA,,
NS_d83f8b1c-0,,,,",",fhir_organization,USA,,
NS_075fdd8d-e,,,,",",fhir_organization,USA,,
NS_dfc7ba39-1,,,,",",fhir_organization,USA,,
NS_17dc5767-9,,,,",",fhir_organization,USA,,
NS_f54d7830-f,,,,",",fhir_organization,USA,,
NS_e50fdd60-e,,,,",",fhir_organization,USA,,
NS_88295028-c,,,,",",fhir_organization,USA,,
NS_034b65ed-a,,,,",",fhir_organization,USA,,
NS_783f2cb9-4,,,,",",fhir_organization,USA,,
NS_8788693a-b,,,,",",fhir_organization,USA,,
NS_61ee9f54-9,,,,",",fhir_organization,USA,,
NS_e443c392-7,,,,",",fhir_organization,USA,,
NS_4cb439d0-d,,,,",",fhir_organization,USA,,
