id,ehr_vendor_id,address,endpoint_connection_type_id,name,description,environment_type_id
22fe0103-e07f-5c45-8960-19159d1cbefa,,https://fhir-service.medicscloud.com/fhir/da/adsc_434ytsa6AiltyuU,hl7-fhir-rest,"RX - EDMUND CAPORASO, MD",,production
e1ad8a39-b702-51d8-8f51-12a6fb1937dc,,https://fhir-service.medicscloud.com/fhir/da/adsc_ckzMdMSbrjqQh9G,hl7-fhir-rest,MARTIN CURLIK,,production
6b4f6093-aa4a-5ecc-809c-5474d364b33a,,https://fhir-service.medicscloud.com/fhir/da/adsc_DD8tsdoJysvT1X8,hl7-fhir-rest,AISHLING OBSTETRICS & GYNECOLOGY,,production
0c13c43f-e2e8-5987-a3b0-bd1b432ac251,,https://fhir-service.medicscloud.com/fhir/da/adsc_EvTqhttbI6GTqx7,hl7-fhir-rest,RX- Lea Lazar MD PC,,production
ac0572fe-60d6-5ccf-98f0-a6a762edf0ad,,https://fhir-service.medicscloud.com/fhir/da/adsc_UPPhAbcQehTgfg3,hl7-fhir-rest,Vascular Surgical Associates,,production
222106b2-b62d-5547-9f10-116351459ab0,,https://fhir-service.medicscloud.com/fhir/da/adsc_hKZQyEuUOuFnHvk,hl7-fhir-rest,"BARRY SEIDMAN, MD",,production
48af1ad4-5449-5ffe-978e-1d90005cf620,,https://fhir-service.medicscloud.com/fhir/da/adsc_ACnt3Im9I2aw8R0,hl7-fhir-rest,Ruben Cristal,,production
39836203-5b0a-509a-9f8e-a2eacd7d4817,,https://fhir-service.medicscloud.com/fhir/da/adsc_YOm2ozcuDgHFtnF,hl7-fhir-rest,MISHRA & MISHRA,,production
b1e4d209-2bb7-5d04-aa64-21f49897fd10,,https://fhir-service.medicscloud.com/fhir/da/adsc_7eN0vahlkyrihzO,hl7-fhir-rest,RIS - DIAGNOSTIC IMAGING OF SO. NEVADA,,production
3ae9b7ec-d13e-57ef-9e4f-90439b5e1779,,https://fhir-service.medicscloud.com/fhir/da/adsc_qpALkkvFsPKwimi,hl7-fhir-rest,RX- Physician Business Alllaince ( Sports Medicine Institute),,production
734bb68c-1915-5012-a55a-f2680374950c,,https://fhir-service.medicscloud.com/fhir/da/adsc_uPA5zQUR4IjHq8X,hl7-fhir-rest,BERGEN INVASIVE CARDIO CENTER,,production
52d9f501-afa1-5ad3-b592-4b8bd7beba4b,,https://fhir-service.medicscloud.com/fhir/da/adsc_xU2GpuTLhg0AXbK,hl7-fhir-rest,"INDEPENDENT IMAGING, LLC",,production
